电影名,评分,发布日期,地区,类型,投票数,演员数,演员
战争与和平4：皮埃尔·别祖霍夫,9.2,1967-11-04,['苏联'],"['剧情', '历史', '战争']",1611,0,[]
从海底出击,9.1,1981-09-17,['西德'],"['剧情', '历史', '战争', '冒险']",35460,21,"['尤尔根·普洛斯诺', '赫贝特·格勒内梅厄', '拉尔夫·瑞克特', '古特·拉姆普雷切特', '海茵茨 ·霍尼格', '乌韦·奥克森克内希特', 'Claude-Oliver Rudolph', '奥利弗·斯特里泽尔', 'Konrad Becker', 'Rita Cadillac', '奥托·山德尔', 'Maryline Moulard', 'Martin May', '艾尔文·莱德', 'Bernd Tauber', '扬·费德', '克劳斯·文内曼', 'Joachim Bernhard', 'Dirk Salomon', 'Hubertus Bengsch', '马丁·塞梅洛格']"
纽伦堡的审判,9.1,1961-12-14,['美国'],"['剧情', '历史']",6464,13,"['斯宾塞·屈塞', '伯特·兰卡斯特', '理查德·威德马克', '玛琳·黛德丽', '马克西米连·谢尔', '朱迪·加兰', '蒙哥马利·克利夫特', '维尔纳·克伦佩雷尔', '雷·蒂尔', '卡尔·斯温森', '肯尼斯·麦克纳', '威廉·夏特纳', '嘉娜·泰勒']"
秦时明月之一舞倾城,9.1,2010-03-25,['中国大陆'],"['剧情', '历史', '战争', '动画']",6443,2,"['罗玉婷', '沈磊']"
人间的条件(第五、六部),9.1,1961-01-28,['日本'],"['剧情', '历史', '战争']",2086,24,"['仲代达矢', '新珠三千代', '高峰秀子', '中村玉绪', '川津祐介', '笠智众', '内藤武敏', '岸田今日子', '瞳丽子', '金子信雄', '石黑达也', '北村和夫', '高原骏雄', '山内明', '二本柳宽', '御桥公', '上田吉二郎', '成濑昌彦', '菅井琴', '中村美代子', '南美江', '北原文枝', '菊地勇一', '木村幌']"
战争与和平2：娜塔莎·罗斯托娃,9.1,1966-07-23,['苏联'],"['剧情', '历史', '战争']",1767,1,['维亚切斯拉夫·吉洪诺夫']
战争与和平3：1812年,9.1,1967-11-23,['苏联'],"['剧情', '历史', '战争']",1695,0,[]
法国大革命,9.1,1990-09-30,"['法国', '意大利', '西德', '加拿大', '英国']","['剧情', '历史', '战争']",988,54,"['克劳斯·马利亚·布朗道尔', '简·西摩', 'Anne Létourneau', '维托里奥·梅佐焦尔诺', '菲利平·勒鲁瓦-博利约', 'Louise Latraverse', '丹尼尔·朗格莱', '妮科尔·格当', '雷蒙·热罗姆', '法郎考斯艾瑞克金德伦', 'Sean Flynn', 'Robert Eliot', '汉斯·迈尔', '杰纳维夫·马尼奇', '拉斐琳·古皮洛', '克里斯托弗·汤普森', '让-伊夫·贝特鲁', 'Jean-Pierre Stewart', '萨德·里波特', '路易森·罗布林', '雅克·佩诺', '多米尼克·皮侬', '迈克·马歇尔', 'Michel Melki', 'Yves-Marie Maurin', 'Jean-Marie Lemaire', '马克德容', '米歇尔·迪绍苏瓦', 'Graeme Allwright', '乔治斯·科拉菲斯', '亨利·赛尔', '罗纳德·格特曼', '玛丽·布奈尔', '汉斯·齐施勒', '萨米·纳塞利', '米歇尔·索博', '克劳迪娅·卡汀娜', '让-弗朗索瓦·巴尔梅', '加布丽·拉佐', '马西莫·吉洛蒂', '安德烈·瑟韦林', '瑟志·杜比尔', '雅克·西龙', 'Tomasz Bialkowski', '玛丽安娜·巴斯莱', 'Yves Beneyton', '让·布伊兹', '塞巴斯蒂安·罗奇', '克里斯托弗·李', '让-弗朗索瓦·斯泰弗南', '米歇尔·加拉布吕', '弗朗索瓦·克鲁塞', '山姆·尼尔', '彼得·乌斯蒂诺夫']"
影武者,9.0,1980-04-26,"['日本', '美国']","['剧情', '历史', '战争']",59046,26,"['仲代达矢', '山崎努', '萩原健一', '根津甚八', '大泷秀治', '隆大介', '油井昌由树', '桃井薰', '倍赏美津子', '室田日出男', '志浦隆之', '清水綋治', '山本亘', '杉森修平', '音羽久米子', '阿藤快', '江幡高志', '岛香裕', '松井范雄', '千葉治郎', '伊藤荣八', '大村千吉', '志村乔', '藤原釜足', '中岛书', '陆建艺']"
镜子,9.0,1975-03-07,['苏联'],"['传记', '剧情', '历史', '战争']",25243,10,"['玛格丽特·捷列霍娃', '因诺肯季·斯莫克图诺夫斯基', '奥列格·扬科夫斯基', '菲利普•扬科夫斯基', '伊格纳特·丹尼尔采夫', '尼古拉·格林科', '阿拉·基米多娃', '尤里·纳扎罗夫', '安纳托利·索洛尼岑', '亚历山大·米沙林']"
安德烈·卢布廖夫,9.0,1971-12-24,['苏联'],"['传记', '剧情', '历史', '战争']",10145,18,"['安纳托利·索洛尼岑', '伊万·拉皮科夫', '尼古拉·格林科', '尼古拉·谢尔盖耶夫', '伊尔玛·拉乌什', '尼古拉·布尔里亚耶夫', '尤里·纳扎罗夫', '尤里·尼库林', '罗兰·贝科夫', 'Irina Miroshnichenko', '德米特里·奥洛夫斯基', '穆拉特贝克·里斯库洛夫', '尼古拉·库图佐夫', '米哈伊尔·科诺诺夫', '斯捷潘·克雷洛夫', 'Nikolai Grabbe', '博洛特·贝舍纳利耶夫', 'Nikolai Glazkov']"
哭泣的草原,9.0,2004-02-12,"['希腊', '法国', '意大利', '德国']","['剧情', '历史', '爱情']",9036,9,"['亚历山德拉·艾迪尼', '尼克斯·普尔索尼迪斯', '吉欧格·亚曼尼斯', '瓦西利斯·科洛沃斯', '伊娃·科塔曼尼多', '陶拉·斯塔索普洛斯', '米哈利斯·扬纳托斯', '格里戈里斯·埃万耶拉托斯', 'George Houliaras']"
尤里西斯的凝视,9.0,1995-05-24,"['希腊', '法国', '意大利', '德国', '英国', '南斯拉夫', '罗马尼亚', '阿尔巴尼亚', '波黑']","['剧情', '历史', '战争']",7476,31,"['哈威·凯特尔', '厄兰·约瑟夫森', '玛雅·摩根斯坦特', '萨纳西斯·韦戈斯', '多拉·瓦拉那基', '萨诺斯·格拉迈诺斯', '留巴·塔迪奇', '万格利斯·卡赞', 'Mirka Kalatzopoulou', '伊娃·科塔曼尼多', '纳迪娅·穆鲁齐', '塔尼娅·帕拉依奥罗葛', '斯特拉托斯·帕希斯', '斯特拉托斯·楚措格卢', '扬尼斯·菲里奥斯', '朵拉·西里思科', 'Virgil Andriescu', 'Eleni Angelopoulos', 'Slobodan Custic', '拉什特科·扬科维奇', 'Sasa Joksimovic', 'Ivan Klemenc', 'Dragan Maksimovic', '奥利维拉·马尔科维奇', 'Slobodan Ninkovic', 'Evgenios Spatharis', '维斯娜切瓦里克', 'Pemi Zouni', '米哈利斯·扬纳托斯', '沃捷希奇·帕斯佐尼亚克', '玛雅·摩根斯特恩']"
三国志：英雄的黎明,9.0,1992-01-25,['日本'],"['剧情', '历史', '战争', '动画', '古装']",2573,33,"['渡哲也', '青井辉彦', '石田太郎', '青野武', '津嘉山正种', '潘惠子', '吉田理保子', '中西妙子', '永井一郎', '家弓家正', '泷口顺平', '中田浩二', '八奈见乘儿', '野田圭一', '矢田耕司', '岸野一彦', '堀川亮', '山中一希', '盐屋翼', '宫内幸平', '田中康郎', '田中亮一', '铃木玲子', '银河万丈', '户谷公次', '佐藤正治', '山田俊司', '乡里大辅', '佐藤佑晖', '上村典子', '青羽美代子', '挂川裕彦', '里内信夫']"
三国志：长江的燃烧,9.0,1993-03-20,['日本'],"['历史', '动画']",1749,38,"['渡哲也', '青井辉彦', '石田太郎', '青野武', '家弓家正', '柴田秀胜', '屋良有作', '堀秀行', '潘惠子', '杉山佳寿子', '中西妙子', '中田浩二', '八奈见乘儿', '野田圭一', '宫内幸平', '槐柳二', '矢田耕司', '田中康郎', '兼本新吾', '盐屋翼', '池水通洋', '田中亮一', '山田俊司', '堀川亮', '佐藤正治', '乡里大辅', '岸野一彦', '户谷公次', '田中和实', '挂川裕彦', '平野正人', '小林通孝', '佐藤佑晖', '真地勇志', '里内信夫', '铃木沙织', '久川绫', '半谷君枝']"
三国志：辽阔的大地,9.0,1994-04-09,['日本'],"['历史', '动画']",1548,37,"['渡濑恒彦', '青井辉彦', '青野武', '石田太郎', '鹤广美', '大塚周夫', '池水通洋', '田中秀幸', '田中康郎', '桥本晃一', '家弓家正', '神山卓三', '阪脩', '中田浩二', '柴田秀胜', '堀秀行', '杉山佳寿子', '堀之纪', '田中和实', '岸野一彦', '银河万丈', '佐藤正治', '矢田耕司', '野本礼三', '乡里大辅', '北川米彦', '八奈见乘儿', '挂川裕彦', '真地勇志', '小林通孝', '川津泰彦', '小林俊夫', '江川央生', '增田有宏', '平野正人', '萩森侚子', '金丸日向子']"
勇敢的心,8.9,1995-05-18,['美国'],"['动作', '传记', '剧情', '历史', '战争']",508972,23,"['梅尔·吉布森', '苏菲·玛索', '布莱恩·考克斯', '詹姆斯·科兹莫', '辛·劳洛', '凯瑟琳·麦克马克', '安古斯·麦克菲登', '布莱丹·格里森', '詹姆斯·霍纳', '彼得·穆兰', '汤米·弗拉纳根', '艾伦·阿姆斯特朗', '大卫·奥哈拉', '帕特里克·麦高汉', '伊安·邦纳', '梅丽·卡尔维', '史蒂芬·比灵顿', '迈克尔·伯恩', '亚力克斯·诺顿', '杰拉德·迈克索利', '詹姆斯·鲁宾逊', '辛·麦金利', 'Donal Gibson']"
卢旺达饭店,8.9,2004-09-11,"['英国', '南非', '意大利', '美国']","['剧情', '传记', '历史', '战争']",277591,15,"['唐·钱德尔', '苏菲·奥康内多', '华金·菲尼克斯', '尼克·诺特', '哈基姆·凯-卡西姆', '托尼·戈罗奇', '法纳·莫科纳', '大卫·奥哈拉', '莫苏西·麦格诺', '西莫·莫加瓦扎', '卡拉·西摩', '罗伯托·西特兰', '德斯蒙德·杜布', '蕾乐蒂·库马洛', '让·雷诺']"
隐藏人物,8.9,2016-12-25,['美国'],"['剧情', '传记', '历史']",173952,17,"['塔拉吉·P·汉森', '奥克塔维亚·斯宾瑟', '加奈儿·梦奈', '凯文·科斯特纳', '克斯汀·邓斯特', '吉姆·帕森斯', '马赫沙拉·阿里', '阿尔迪斯·霍吉', '格伦·鲍威尔', '金贝利·奎恩', '奥莱克·克鲁帕', '库尔特·克劳斯', '玛戈特·李·谢特利', '罗达·格里菲丝', '马丽娅豪厄尔', '斯科特·迈克尔·摩根', '维布尔·弗利茨杰拉德']"
赛德克·巴莱(上)：太阳旗,8.9,2011-09-09,['中国台湾'],"['剧情', '历史', '战争']",90931,11,"['林庆台', '游大庆', '马志翔', '安藤政信', '木村佑一', '温岚', '田中千绘', '罗美玲', '马如龙', '徐诣帆', '日比野玲']"
悲情城市,8.9,1989-09-12,['中国台湾'],"['剧情', '历史']",67237,21,"['陈松勇', '李天禄', '高捷', '辛树芬', '陈淑芳', '梁朝伟', '太保', '梅芳', '林照雄', '金士杰', '柯素云', '吴义芳', '张大春', '何瑷芸', '雷鸣', '詹宏志', '文帅', '罗诚业', '蔡振南', '阿匹婆', '林扬']"
大决战之辽沈战役,8.9,1991,['中国大陆'],"['剧情', '历史', '战争']",17192,17,"['古月', '苏林', '赵恒多', '吴志远', '孙海英', '姚居德', '卢学公', '路希', '徐正运', '杨次禹', '王超', '冯恩鹤', '李世玺', '许守钦', '张安安', '马绍信', '李晓波']"
马拉/萨德,8.9,1967-02-22,['英国'],"['剧情', '音乐', '历史']",309,4,"['格兰达·杰克逊', '伊恩·理查森', '弗雷迪·琼斯', '威廉姆·摩根·谢泼德']"
赛德克·巴莱,8.8,2012-05-10,['中国台湾'],"['剧情', '历史', '战争']",161036,18,"['林庆台', '马志翔', '安藤政信', '河原萨布', '徐诣帆', '温岚', '罗美玲', '游大庆', '林源杰', '田中千绘', '马如龙', '陈志明', '汤湘竹', '中村龙', '林思杰', '黑莓', '逸見輝羊', '藤冈靛']"
帝国的毁灭,8.8,2004-09-08,"['德国', '奥地利', '意大利']","['剧情', '传记', '历史', '战争']",80967,56,"['布鲁诺·冈茨', '亚历山德拉·玛丽亚·拉娜', '科琳娜·哈弗奇', '乌尔里希·马特斯', '茱莉安·柯勒', '海诺·费尔希', '克里斯蒂安·贝克尔', '马蒂亚斯·哈比希', '托马斯·克莱舒曼', '米歇尔·门德尔', '安德烈·赫尼克', '乌尔里希·诺登', '比吉特·米尼希迈尔', '罗夫·凯尼斯', '尤斯图斯·冯·多赫纳尼', '迪特尔·曼', '克里斯蒂安·雷德尔', '戈兹·奥托', '托马斯·林平泽尔', '托马斯·蒂梅', '杰拉德·亚历山大·海德', 'Bettina Redlich', '海因里希·施密德', '安娜·塔巴赫', '迪特里希·霍林德布穆尔', 'Ulrike Krumbiegel', '卡尔·克兰茨科夫斯基', 'Jürgen Tonkel', '大卫·史崔梭德', '法比安·布施', 'Aleksandr Slastin', '阿丽娜·索卡', 'Gregory Borlein', 'Laura Borlein', '丽扎· 波亚尔斯卡娅', '迈克尔·布兰德纳', '马丁·布兹克', '马蒂亚斯·格内丁格尔', 'Norbert Heckner', '恩诺·海瑟', '尤莉亚·延奇', '迈克尔·肯德', 'Elisabeth von Koch', '斯特凡·梅伦', '卡特琳娜·珀罗简', 'Christian Schmidt', '\u200e奥古斯特·施梅尔泽\u200e', 'Klaus-Jürgen Steinmann', '奥利弗·斯特里泽尔', 'Klaus B. Wolf', 'Traudl Junge', 'Martin Kessler', '亨宁·佩克', '迪特·鲁普', 'Tatjana Zhuravleva', 'Oleg Popov']"
赛德克·巴莱(下)：彩虹桥,8.8,2011-09-30,['中国台湾'],"['剧情', '历史', '战争']",80863,12,"['马志翔', '温岚', '田中千绘', '林庆台', '安藤政信', '徐诣帆', '藤冈靛', '马如龙', '游大庆', '罗美玲', '木村佑一', '逸見輝羊']"
蓝风筝,8.8,1993-05-21,"['中国大陆', '中国香港']","['剧情', '历史']",46370,19,"['吕丽萍', '濮存昕', '李雪健', '郭宝昌', '易天', '宗平', '吕中', '张弘', '张炬', '张丰毅', '丁嘉丽', '徐敏', '宋晓英', '陈小满', '李滨', '张文瑶', '郭冬临', '褚栓忠', '关凌']"
刺杀肯尼迪,8.8,1991-12-20,"['美国', '法国']","['传记', '剧情', '历史', '悬疑', '惊悚']",30903,40,"['凯文·科斯特纳', '茜茜·斯派塞克', '汤米·李·琼斯', '乔·佩西', '加里·奥德曼', '凯文·贝肯', '杰克·莱蒙', '唐纳德·萨瑟兰', '马丁·辛', '迈克尔·鲁克', '文森特·多诺费奥', '普路特·泰勒·文斯', '鲍勃·冈顿', '沃尔特·马修', '劳里·梅特卡夫', '朗·瑞弗金', '爱德华·阿斯纳', '韦恩·奈特', '莎莉·柯克兰德', '约翰·坎迪', '菲德尔·卡斯特罗', '李易', '托马斯·米连', '马可·佩雷拉', '杰伊·桑德斯', '吴俊全', '托尼·普拉纳', '布赖恩·道尔', '沃尔特·克朗凯特', '加里·格鲁布斯', '贝娅塔·波兹尼亚克', '代尔·戴', '盖尔·克罗纳奥尔', '埃德温·尼尔', '乔·安德森', '达里尔·考克斯', '乔治·R·罗伯逊', '约翰·S.戴维斯', 'Mike Kennedy', 'Victor Kempster']"
黄昏的清兵卫,8.8,2002-11-02,['日本'],"['剧情', '历史', '爱情']",27836,18,"['真田广之', '宫泽理惠', '小林稔侍', '大杉涟', '吹越满', '深浦加奈子', '神户浩', '草村礼子', '吉田宪二', '山崎贵', '中村梅雀', '赤冢真人', '樱井千里', '北山雅康', '尾美利德', '田中泯', '岸惠子', '丹波哲郎']"
西线无战事,8.8,1930-08-24,['美国'],"['剧情', '动作', '历史', '战争']",15832,16,"['路易斯·沃海姆', '刘·艾尔斯', '约翰·雷', '阿诺德·露西', '本·亚历山大', '斯科特·寇克', '小欧文·戴维斯', '沃尔特·罗杰斯', '威廉·贝克韦尔', '拉塞尔·格里森', '理查德·亚历山大', '哈罗德·古德温', '斯利姆·萨默维尔', 'G·帕特·柯林斯', '贝丽尔·默瑟', '艾德蒙·布里斯']"
